"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"Yang Liu","Chinese Academy of Sciences","534",9507,1993,2020,"Chemistry|Materials science|Inorganic chemistry|Biology|Organic chemistry|Nanotechnology|Analytical chemistry|Chemical engineering|Catalysis|Photochemistry","Journal publications|Patents|Repository papers|Other|Conference publications","Jinghong Li|Yunfeng Lu|Libo Du|Linqi Shi|Huanming Yang|Huibiao Liu|Di Wu|Fushen Lu|Huijuan Liu|Gong Zhang","Advanced Materials|Analytical Chemistry|Journal of the American Chemical Society|Chemistry: A European Journal|ACS Nano|Angewandte Chemie|PLOS ONE|Nature Communications|Electrochemical and Solid State Letters|Scientific Reports","Chinese Academy of Sciences|Nankai University|University of California, Los Angeles|University of Science and Technology of China|Dalian Institute of Chemical Physics|Shanghai Jiao Tong University|Tsinghua University|Jilin University|Tianjin Medical University General Hospital|Tongji University","IPFA: International Symposium on the Physical and Failure Analysis of Integrated Circuits|ROBIO: Robotics and Biomimetics",NA
"Manasa K. Nayak","University of Iowa","33",501,2009,2019,"Platelet|Medicine|Biochemistry|Biology|Thrombus|Immunology|Cell biology|Pharmacology|Materials science|In vitro","Journal publications|Other","Debabrata Dash|Anil K. Chauhan|Nirav Dhanesha|Sharda Kumari|Manish Jain|Prakash Doddapattar|Sunil K. Singh|Steven R. Lentz|Manoj Kumar Singh|José Grácio","ACS Nano|Journal of Biological Chemistry|Thrombosis and Haemostasis|Blood|Arteriosclerosis, Thrombosis, and Vascular Biology|Stroke|Current Pharmaceutical Design|PLOS Pathogens|PLOS ONE|International Journal of Pharmaceutics","University of Iowa|Institute of Medical Sciences, Banaras Hindu University|Harvard University|Johns Hopkins University|Karolinska Institutet|Case Western Reserve University|University of Colorado Denver|Université catholique de Louvain|Indian Institute of Science Education and Research, Kolkata|Fukuyama University",NA,NA
"Wasia Rizwani","University of Texas MD Anderson Cancer Center","17",861,1997,2015,"Cancer research|Nicotinic agonist|Medicine|Nicotine|Cancer|Lung cancer|Metastasis|Pancreatic cancer|Angiogenesis|Biology","Journal publications|Other|Conference publications","Srikumar Chellappan|Eric B. Haura|Sarmistha Banerjee|Smitha Pillai|Michelle Kovacs|Domenico Coppola|Piyali Dasgupta|Shipra Rastogi|Melanie A. Carless|Rebecca Kinkade","International Journal of Cancer|PLOS ONE|Journal of the National Cancer Institute|Molecular and Cellular Biology|Cell Death & Differentiation|BMC Urology|Cancers|World Journal of Urology|Cell Cycle|Open Journal of Urology","University of South Florida|University of Texas MD Anderson Cancer Center|University of Florida|University of British Columbia|Cancer Research Institute|University of Texas at Austin|Osmania University","INCEMIC: International Conference on Electromagnetic Interference and Compatibility",NA
"Shiuan Wang","Baylor College of Medicine","3",112,2014,2015,"Retromer complex|Biology|Endosome|Retromer|Genetics|Transport protein|Rhodopsin|Mutant|Retinal degeneration|Endocytosis","Journal publications","Hugo J. Bellen|Melina A. Agosto|Vafa Bayat|Lita Duraine|Hector Sandoval|Manish Jaiswal|Kartik Venkatachalam|Theodore G. Wensel|Gabriela David|Kai Li Tan","PLOS Biology|Development","Baylor College of Medicine|University of Texas Health Science Center at San Antonio|Howard Hughes Medical Institute",NA,NA
"Apiruck Watthanasurorot","Uppsala University","16",254,2010,2016,"Biology|Virology|Viral replication|White spot syndrome|Crayfish|Innate immune system|Pacifastacus|Antibody|Genetics|Crustacean","Journal publications|Other","Kenneth Söderhäll|Irene Söderhäll|Pikul Jiravanichpaisal|Hai-peng Liu|Amornrat Phongdara|Netnapa Saelee|Enen Guo|Chu-Fang Lo|Sirinit Tharntada|Sittiruk Roytrakul","Journal of Virology|PLOS Pathogens|PLOS Genetics|Journal of Molecular Cell Biology|Cellular and Molecular Life Sciences|Biochemical and Biophysical Research Communications|Developmental and Comparative Immunology","Uppsala University|Thailand National Science and Technology Development Agency|Xiamen University|Kasetsart University|Prince of Songkla University|Biotec|National Cheng Kung University|Science for Life Laboratory",NA,NA
"Dawn E. Watkins-Chow","National Institutes of Health","30",1297,1996,2020,"Biology|Genetics|Molecular biology|Gene|Allele|Melanocyte|SOX10|Cellular differentiation|Immunology|Phenotype","Journal publications|Repository papers","William J. Pavan|Stacie K. Loftus|Shawn M. Burgess|Kevin Bishop|Cecilia Rivas|Laura L. Baxter|Nisc Comparative Sequencing Program|Christian C. Abnet|Stephen J. Chanock|Leonard I. Zon","Human Molecular Genetics|Science|Nature Neuroscience|Cancer Research|Pigment Cell & Melanoma Research|PLOS Genetics|G3: Genes, Genomes, Genetics|bioRxiv|Nucleic Acids Research|Disease Models & Mechanisms","National Institutes of Health|Harvard University|Howard Hughes Medical Institute|Leidos|Children's Hospital of Philadelphia|Howard University|Muhimbili University of Health and Allied Sciences|University of Botswana|University of California, Los Angeles|Brown University",NA,NA
"Erica P. Homan","Baylor College of Medicine","9",715,2010,2016,"Osteogenesis imperfecta|Dominance (genetics)|Biology|Genetics|Mutation|Internal medicine|Endocrinology|Type I collagen|Medicine|Osteoid","Journal publications|Other","Brendan Lee|Terry Bertin|Caressa Lietman|Brian Dawson|Ingo Grafe|Elda Munivez|Dobrawa Napierala|Ming Ming Jiang|Yuqing Chen|David R. Eyre","Journal of Bone and Mineral Research|Nature Medicine|Human Molecular Genetics|PLOS ONE|PLOS Genetics|Molecular Genetics and Metabolism","Baylor College of Medicine|Howard Hughes Medical Institute|University of California, Los Angeles|Shriners Hospitals for Children|University of Washington|University of Arkansas for Medical Sciences|Cedars-Sinai Medical Center|NorthShore University HealthSystem|Genzyme|Oregon Health & Science University",NA,NA
"Natalia Lopez-del Hoyo",NA,"2",20,2012,2014,"Retina|Retinal degeneration|Cell biology|Calcium-binding protein|Molecular biology|Calcium signaling|Cell damage|Photoreceptor cell|Calcium|Biochemistry","Journal publications","Santiago López-Begines|Ana Méndez|Jose Luis Rosa|Jeannie Chen|Laura Fernández-Sánchez|Nicolás Cuenca|Pedro de la Villa|Jordi Llorens|Lucrezia Fazioli","PLOS Genetics|PLOS ONE","University of Barcelona|University of Southern California|University of Alicante|University of Alcalá",NA,NA
"Cathleen D. Valentine","University of California, San Francisco","13",859,1999,2014,"Biology|Molecular biology|Cell biology|Estrogen receptor|Coactivator|Cancer research|Biochemistry|Estrogen receptor alpha|Antiestrogen|Transactivation","Journal publications|Patents|Other","Peter J. Kushner|Phuong H. Nguyen|Paul Webb|Peter M. Haggie|Alan S. Verkman|Eva Enmark|Jan-Åke Gustafsson|Gabriela N. Lopez|Stefan Nilsson|Benita S. Katzenellenbogen","Molecular Endocrinology|Journal of Biological Chemistry|Nuclear Receptor|Molecular Biology of the Cell|PLOS Pathogens|Cellular Microbiology|Traffic","University of California, San Francisco|Novum|University of Illinois at Urbana–Champaign|Karolinska Institutet|McGill University|California Institute for Quantitative Biosciences|San Francisco State University|Amgen|University of Virginia",NA,NA
"Shipan Dai","Ohio State University","5",145,2011,2013,"Francisella tularensis|Biology|Microbiology|TLR2|MAPK/ERK pathway|Virology|Francisella|Virulence|Phagocytosis|Antibody opsonization","Journal publications|Other","Larry S. Schlesinger|Rachel Leander|John S. Gunn|Nrusingh P. Mohapatra|Murugesan V. S. Rajaram|Heather M. Curry|Avner Friedman","PLOS Pathogens|Frontiers in Microbiology|PLOS Computational Biology|Infection and Immunity","Ohio State University",NA,NA
"Vicente Ram’rez",NA,"1",0,2016,2016,"Art|Humanities|Curandero","Other",NA,NA,NA,NA,NA
"Haitao Wei","Henan University","7",45,2015,2019,"Lung cancer|Cisplatin|Cancer research|microRNA|Cancer|Medicine|Molecular biology|Internal medicine|Reporter gene|Western blot","Journal publications","Haifeng Zhang|Baoli Hu|Feng Zhang|Zuopei Wang|Li Li|Xiaolong Wang|Li Li|Yong-Yuan Guo|Donghong Zhang|Jiali Wang","Cancer Biology & Therapy|Cancer Chemotherapy and Pharmacology|European Journal of Clinical Pharmacology|Artificial Cells Nanomedicine and Biotechnology|RSC Advances|Thoracic Cancer","Henan University|Shandong University",NA,NA
"Meleri Jones","Queen Mary University of London","28",1394,2000,2020,"Virology|Biology|Immunology|Virus|Medicine|Interferon|Dengue virus|Hepatitis B virus|Hepatitis B|Genotype","Journal publications|Other","Michael Jacobs|Graham R. Foster|Andrew D. Davidson|Judith Breuer|Nathan J. Brendish|G Nebbia|Claire Dunn|Paul Klenerman|Pooja Khanna|David A. Brown","Gastroenterology|Journal of Immunology|Journal of Virology|The Journal of Infectious Diseases|Molecular Biology and Evolution|Hepatology|PLOS Pathogens|Scientific Reports|Transactions of The Royal Society of Tropical Medicine and Hygiene|Journal of Investigative Dermatology","University College London|Queen Mary University of London|University of Oxford|Imperial College London|University of Pittsburgh|Medical Research Council|Columbia University|King's College London|Wellcome Trust Sanger Institute|University of Edinburgh",NA,NA
"Miti Jearaphunt","Uppsala University","1",20,2014,2014,"Innate immune system|Caspase 1|Proteases|Prophenoloxidase|Proteolysis|Cell morphology|Biochemistry|Biology|Immune system|Caspase","Journal publications","Kenneth Söderhäll|Pikul Jiravanichpaisal|Chadanat Noonin|Irene Söderhäll|Seiko Nakamura|Anchalee Tassanakajon","PLOS Pathogens","Uppsala University|Thailand National Science and Technology Development Agency|Chulalongkorn University|Science for Life Laboratory",NA,NA
"Niyas Kudukkil Pulloor","National University of Singapore","6",81,2014,2017,"Biology|Cell biology|Interferon|Inositol|IRF3|Transcription factor|NOD2|Virology|RNA interference|Interferon type I","Journal publications","Pradeep Bist|Ramnik J. Xavier|Neha Dikshit|Bindu Sukumaran|Manoj N. Krishnan|Stephen B. Shears|Matija Hedl|Hanif Javanmard Khameneh|Antonio Bertoletti|Aylwin Ng","PLOS Pathogens|Journal of Immunology|Nature Communications|BMC Cell Biology","National University of Singapore|Harvard University|Yale University|National Institutes of Health|Agency for Science, Technology and Research|Johns Hopkins University School of Medicine|Jewish General Hospital|University of Bath|Vanderbilt University Medical Center|Icahn School of Medicine at Mount Sinai",NA,NA
"Verity G. Kew","University of Cambridge","7",104,2012,2018,"Human cytomegalovirus|Biology|Immunology|Medicine|Medical research|Platelet disorder|Tropomyosin 4|State government|Independent research|National health","Journal publications|Other","Matthew B. Reeves|Nicola Foad|Galina Schevzov|Stephane Chappaz|William Astle|Samya Obaji|José Ballester-Beltrán|Irina Pleines|Sarah K Westbury|Nicole S. Bryce","Journal of Clinical Investigation|PLOS Pathogens|Journal of Virology|Cell Reports|Journal of General Virology|Scientific Reports","University of Cambridge|University College London|National Blood Service|University of Melbourne|Walter and Eliza Hall Institute of Medical Research|University of Würzburg|University of New South Wales|University of Bristol|Cardiff University|Wellcome Trust",NA,NA
"Michelle Khai Khun Yap","University of Malaya","11",156,2011,2019,"Biology|Venom|Pharmacology|Antivenom|Toxicology|Spitting cobra|Cobra Venoms|Venom Protein|Biochemistry|Envenomation","Journal publications|Other","Nget Hong Tan|Shin Yee Fung|Kae Yi Tan|Choo Hock Tan|Christeine Ariaranee Gnanathasan|Si Mui Sim|Poh Kuan Leong|Jia Lee Liew|Nurhamimah Misuan|Ravini Ayoddhia Sirilal Gurunanselage Don","Journal of Proteomics|Acta Tropica|Scientific Reports|Journal of Venomous Animals and Toxins Including Tropical Diseases|Toxicon|PLOS Neglected Tropical Diseases|Basic & Clinical Pharmacology & Toxicology|Biomedicine & Pharmacotherapy","University of Malaya|University of Colombo|Monash University Malaysia Campus",NA,NA
"Jianming Chen","Chinese Center for Disease Control and Prevention","30",596,2006,2015,"Biology|Clostridium perfringens|Microbiology|Mutant|Virology|Toxin|Molecular biology|Complementation|Quorum sensing|Medicine","Journal publications","Bruce A. McClane|Xiao-Ping Dong|Jun Han|Chen Gao|Qi Shi|Bao-Yun Zhang|Wei Zhou|Jihong Li|Hui-Ying Jiang|Chenfang Dong","Infection and Immunity|PLOS ONE|Mbio|BMC Public Health|Biomedical and Environmental Sciences|PLOS Pathogens|Archives of Virology|Gut microbes|Infection, Genetics and Evolution|Journal of Virological Methods","University of Pittsburgh|Chinese Center for Disease Control and Prevention|Australian Research Council|China-Japan Friendship Hospital|Xi'an Jiaotong University|Monash University, Clayton campus|University of California, Davis|Centers for Disease Control and Prevention|Capital University|Academy of Medical Sciences, United Kingdom",NA,NA
"Doblin Sandai","Universiti Sains Malaysia","26",433,2012,2019,"Biology|Microbiology|Candida albicans|Corpus albicans|Biochemistry|Candida glabrata|Isocitrate lyase|Pathogen|Virulence|Saccharomyces cerevisiae","Journal publications|Other","Leslie Thian Lung Than|Alistair J. P. Brown|Yasser M. Tabana|Zhikang Yin|Susan Budge|Michelle D. Leach|Stavroula Kastora|Iuliana V. Ene|Iryna Bohovych|Shu Yih Chew","The Journal of Experimental Biology|PLOS ONE|Mbio|The Malaysian journal of medical sciences|Jundishapur Journal of Microbiology|Journal of Applied Microbiology|Journal of the Science of Food and Agriculture|Infection, Genetics and Evolution|Oncology Reports|Frontiers in Microbiology","Universiti Sains Malaysia|University of Aberdeen|Universiti Putra Malaysia|International University, Cambodia|Lebanese American University|University of Malaya|University of Milan|Universiti Teknologi MARA",NA,NA
"Anusha M. Gopalakrishnan","Tulane University","11",154,2007,2017,"Biology|Plasmodium falciparum|Genetics|DNA damage|Virology|Regulation of gene expression|Molecular biology|Promoter|Artemisinin|Artesunate","Journal publications","Nirbhay Kumar|Carlos López-Estraño|M. Ross Fergus|Kasturi Haldar|Jean-Philippe Semblat|Dominique Mazier|Bertrand Lemieux|Ying Li|Christine C. Ginocchio|Ryhana Manji","Antimicrobial Agents and Chemotherapy|Mbio|Experimental Parasitology|The Journal of Molecular Diagnostics|Biochimica et Biophysica Acta|Scientific Reports|Parasitology Research|Infectious disorders drug targets","Tulane University|University of Memphis|Northwestern University|Pierre-and-Marie-Curie University|The Feinstein Institute for Medical Research|Xavier University of Louisiana|Xavier University",NA,NA
"Christopher W. Cutler","Baylor College of Medicine","6",470,1996,1999,"Immunology|Medicine|Biology|In vivo|Growth factor|Hyperplasia|Surgery|Wound healing|Porphyromonas gingivalis|Side effect","Journal publications","Salvador Nares|Russell E. Dill|Anthony M. Iacopino|Deborah L. Doxey|T. E. Van Dyke|Andrea Gonzales|Kim Stoever|James Fojt|Bina Park|May C. Ng","Journal of Periodontology|Journal of Periodontal Research|Infection and Immunity","Baylor College of Medicine|Boston University|Baylor University|Baylor University Medical Center|Emory University|Morehouse School of Medicine|Hebrew University of Jerusalem|University of Giessen|Wake Forest University",NA,NA
"Brenda A. Wilson","University of Illinois at Urbana–Champaign","112",5510,1990,2019,"Biology|Microbiome|Microbiology|Ecology|Biochemistry|Genetics|Molecular biology|Gene|Escherichia coli|Zoology","Journal publications|Other|Repository papers|Books","Rebecca M. Stumpf|Steven R. Leigh|Carl J. Yeoman|Bryan A. White|Karen E. Nelson|Mengfei Ho|Manolito Torralba|Katherine R. Amato|Suleyman Yildirim|Andres Gomez","PLOS ONE|The ISME Journal|Applied and Environmental Microbiology|Journal of Biological Chemistry|Clinical Microbiology Reviews|American Journal of Physical Anthropology|Microbial Ecology|Infection and Immunity|Proceedings of the National Academy of Sciences of the United States of America|Cell Reports","University of Illinois at Urbana–Champaign|J. Craig Venter Institute|Montana State University|University of Colorado Boulder|Carle Foundation Hospital|National Autonomous University of Mexico|University of Minnesota|World Wide Fund for Nature|University of Veterinary and Pharmaceutical Sciences Brno|Mayo Clinic",NA,NA
"S. Jeyaseelan","University of Minnesota","6",284,1998,2001,"Biology|Microbiology|Molecular biology|Immunology|Cytolysis|Lymphocyte function-associated antigen 1|Virology|Tyrosine kinase|Pulmonary alveolus|Cytokine","Journal publications","Samuel K. Maheswaran|Mathur S. Kannan|Gary C Sieck|Shih-Ling Hsuan|Mitchell S. Abrahamsen|C. Malazdrewich|Edward T. Lally|Bruce Walcheck|Jian Fei Wang|S. L. Hsuan","Infection and Immunity|Microbial Pathogenesis","University of Minnesota|Mayo Clinic|United States Department of Agriculture|University of Pennsylvania",NA,NA
"S. Jeyaseelan","University of Minnesota","6",284,1998,2001,"Biology|Microbiology|Molecular biology|Immunology|Cytolysis|Lymphocyte function-associated antigen 1|Virology|Tyrosine kinase|Pulmonary alveolus|Cytokine","Journal publications","Samuel K. Maheswaran|Mathur S. Kannan|Gary C Sieck|Shih-Ling Hsuan|Mitchell S. Abrahamsen|C. Malazdrewich|Edward T. Lally|Bruce Walcheck|Jian Fei Wang|S. L. Hsuan","Infection and Immunity|Microbial Pathogenesis","University of Minnesota|Mayo Clinic|United States Department of Agriculture|University of Pennsylvania",NA,NA
"Nobuo Okahashi","Osaka University","63",4301,1982,2019,"Biology|Microbiology|Immunology|Molecular biology|Porphyromonas gingivalis|Tumor necrosis factor alpha|Osteoclast|Periodontitis|Activator (genetics)|Streptococcus pyogenes","Journal publications","Atsuo Amano|Ichiro Nakagawa|Tatsuji Nishihara|Shigetada Kawabata|Shigeyuki Hamada|Nobuyuki Udagawa|Naoyuki Takahashi|Kanichiro Kobayashi|Masae Kuboniwa|Takashi Ooshima","Journal of Immunology|Oral Microbiology and Immunology|Infection and Immunity|Genome Research|Biochemical and Biophysical Research Communications|PLOS ONE|Journal of Periodontal Research|Journal of Biological Chemistry|Microbiology|Journal of Periodontology","Osaka University|Showa University|University of Tsukuba|Kitasato University|Nagasaki University|Matsumoto Dental University|Kanagawa Dental College|China Medical University (PRC)|Nihon University|National Presto Industries",NA,NA
"Stephanie Dahan","Icahn School of Medicine at Mount Sinai","40",1502,2000,2018,"Biology|Immunology|Molecular biology|Signal transduction|Motility|Receptor|Growth factor|Bone morphogenetic protein receptor|Population|Bone morphogenetic protein 2","Journal publications|Other","Lloyd Mayer|Xiu-Min Li|Korey Stevanovic|Balázs Koscsó|Michael D. Gershon|Miriam Merad|Milena Bogunovic|Arthur Mortha|Marylene Leboeuf|E. Richard Stanley","Cell|Gastroenterology|Infection and Immunity|Allergy|Inflammatory Bowel Diseases|Journal of Biological Chemistry|Immunological Reviews|Oncotarget|Mucosal Immunology|Nature Communications","Icahn School of Medicine at Mount Sinai|Columbia University|Albert Einstein College of Medicine|Penn State Milton S. Hershey Medical Center|Rockefeller University|University of Nice Sophia Antipolis|Medical University of Vienna|University of Bologna|Eli Lilly and Company|University of California, San Francisco",NA,NA
"Laura W. Schrum","Carolinas Medical Center","66",3391,1998,2019,"Biology|Molecular biology|Hepatic stellate cell|Biochemistry|Cell biology|Virology|Internal medicine|Endocrinology|Apoptosis|Receptor","Journal publications|Patents","Richard A. Rippe|Herbert L. Bonkovsky|Iain H. McKillop|Ashley M. Lakner|Nury M. Steuerwald|David A. Brenner|Ting Li|Hidekazu Tsukamoto|Sriparna Ghosh|Tracy L. Walling","Journal of Biological Chemistry|Hepatology|American Journal of Physiology-gastrointestinal and Liver Physiology|World Journal of Gastroenterology|Alcohol|Alcoholism: Clinical and Experimental Research|Biochimica et Biophysica Acta|Liver International|Surgery|Infection and Immunity","University of North Carolina at Chapel Hill|University of North Carolina at Charlotte|Carolinas Medical Center|University of Southern California|Bayer|Oregon Health & Science University|German Cancer Research Center|Duke University|Johnson C. Smith University|University of Connecticut Health Center",NA,NA
"Sen Rong Yan","University of Pittsburgh","3",75,1999,1999,"Biology|Tyrosine phosphorylation|Cell biology|Molecular biology|Tyrosine kinase|Tumor necrosis factor alpha|Integrin|Receptor tyrosine kinase|PTK2|Proto-oncogene tyrosine-protein kinase Src","Journal publications","M. John Novak","FEBS Letters|Inflammation|Cellular Immunology","University of Pittsburgh",NA,NA
"Peter L. W. Yun","Millennium Institute","7",100,2005,2013,"Biology|Porphyromonas gingivalis|Bacterial adhesin|Gingipain|Biochemistry|Cell biology|Immunology|Ligand (biochemistry)|Peptide sequence|Cysteine","Journal publications","Neil Hunter|Nan Li|Charles A. Collyer|Arthur A. DeCarlo|Nazila Babapoor Ghadikolaee|Mangala A. Nadkarni|Ky-Anh Nguyen|Mihwa Lee|Cheryl C. Chapple|Charles A. Collyer","Molecular Microbiology|Infection and Immunity|European journal of microbiology and immunology|Microbial Pathogenesis","Millennium Institute|University of Sydney|University of Western Australia|Nova Southeastern University|Southeastern University",NA,NA
"Samithamby Jeyaseelan","University of Colorado Hospital","2",133,2005,2012,"Immunology|Medicine|Chemokine|Proinflammatory cytokine|Receptor|TLR4|Toll-like receptor|Cytokine|Lung injury|Signal transduction","Journal publications|Other","Scott K. Young|Mason W. Freeman|G. S. Worthen|Hong Wei Chu|Katie R. Poch|Jennifer H. Madenspacher|Michael B. Fessler|Kathleen A. Smoak|G. Scott Worthen|Jerry A. Nick","Infection and Immunity","University of Colorado Hospital|Harvard University",NA,NA
"Ellen J. Beswick","University of New Mexico","81",1564,2003,2019,"Immunology|Biology|Helicobacter pylori|T cell|Medicine|Cytokine|Inflammation|Cancer research|Immune system|Gastric mucosa","Journal publications|Other|Patents","Victor E. Reyes|Irina V. Pinchuk|Don W. Powell|Giovanni Suarez|Katherine T. Morris|Robert A. Nofchissey|David Y. Graham|Jamal I. Saada|Johanna C. Sierra|Soumita Das","Journal of Immunology|Gastroenterology|Infection and Immunity|World Journal of Gastroenterology|PLOS ONE|International Journal of Cancer|Journal of Biological Chemistry|Cancer Research|Oncotarget|Science Translational Medicine","University of Texas Medical Branch|University of New Mexico|Baylor College of Medicine|Kaohsiung Medical University|University of Zurich|University of Arizona|Columbia University|Shanghai Jiao Tong University|Kyoto Prefectural University of Medicine|Ludwig Maximilian University of Munich",NA,NA
"Catherine J. Hunter","Children's Memorial Hospital","74",1301,2007,2020,"Medicine|Surgery|Necrotizing enterocolitis|Immunology|Intensive care medicine|Biology|Cronobacter sakazakii|Apoptosis|Disease|Sepsis","Journal publications|Other","Henri R. Ford|Mikael Petrosyan|Guillermo Ares|Jeffrey S. Upperman|Brian P. Blackwood|Nemani V. Prasadarao|Nikunj K. Chokshi|Yigit S. Guner|Irene B. Helenowski|Carrie Yuan","Journal of Pediatric Surgery|Pediatric Surgery International|Journal of Perinatology|Surgical Infections|Pediatric Research|American Journal of Surgery|American Journal of Pathology|Seminars in Perinatology|Infection and Immunity|Journal of Pediatric Gastroenterology and Nutrition","University of Southern California|Children's Memorial Hospital|Northwestern University|Children's Hospital Los Angeles|University of Illinois at Chicago|Rush University Medical Center|University of Iowa|UCLA Medical Center|Kaiser Permanente|University of California, Los Angeles",NA,NA
"Suleyman Felek","University of Michigan","12",492,2007,2017,"Biology|Microbiology|Yersinia pestis|Mutant|Bacterial adhesin|Enterobacteriaceae|Virology|Virulence|Immunology|Cytotoxic T cell","Journal publications","Eric S. Krukonis|Tiffany M. Tsang|Malte Kronshage|Jeffrey S. Wiese|Nicholas Noinaj|Satoshi Yamashita|Travis J. Barnard|Petra Lukacik|Susan K. Buchanan|B. Joseph Hinnebusch","Infection and Immunity|Microbiology|Structure|PLOS ONE|Molecular Microbiology|Cellular Microbiology|Advances in Experimental Medicine and Biology","University of Michigan|University of Detroit Mercy|National Institutes of Health|University of Georgia|Washington University in St. Louis|Wayne State University|Indiana University Bloomington|New York Institute of Technology|Stony Brook University|State University of New York System",NA,NA
"Paola Massari","Boston University","56",3179,1994,2020,"Biology|Immunology|Immune system|TLR2|Microbiology|Virology|Immunity|Toll-like receptor|Bacterial outer membrane|Porin","Journal publications|Other|Repository papers","Lee M. Wetzler|Caroline Attardo Genco|Xiuping Liu|Deana N. Toussi|Ryan S. McClure|Douglas T. Golenbock|John L. Telford|Yu Ho|Roberto Manetti|Laura Oliveira-Nascimento","Journal of Immunology|Infection and Immunity|Frontiers in Immunology|Vaccine|PLOS ONE|Evolutionary Applications|Trends in Microbiology|Journal of Cell Biology|Proceedings of the National Academy of Sciences of the United States of America|Journal of Structural Biology","Boston University|University of Massachusetts Medical School|University of São Paulo|Tufts University|Boston Medical Center|Free University of Berlin|Wellesley College|Peking Union Medical College|Imperial College London|University of California, San Diego",NA,NA
"Min-Hee Cho",NA,"9",74,2009,2015,"Bacillus anthracis|Microbiology|Immune system|Biology|Virology|Immunology|Polyglutamic acid|Anthrax vaccines|Guinea pig|Protective antigen","Journal publications|Other","Gi-eun Rhie|Jeong-Hoon Chun|Hee-Bok Oh|Kee-Jong Hong|Jungchan Park|Cheon-Kwon Yoo|Won Keun Seong|On-Jee Choi|Bong-Su Kim|Jeyoun Jang","Infection and Immunity|Osong public health and research perspectives|Journal of Bacteriology|Molecular Immunology|Journal of Immunology|Journal of Bacteriology and Virology","Hankuk University of Foreign Studies|International Vaccine Institute|Seoul National University",NA,NA
"Yuan Du","Nihon University","6",89,2010,2015,"Biology|Immunology|Inflammation|Aggregatibacter actinomycetemcomitans|Apolipoprotein E|Antigen|Virology|CD8|TLR4|Interleukin 6","Journal publications","Tomoko Kurita-Ochiai|Tomomi Hashizume|Masafumi Yamamoto|Yoshimitsu Abiko|Satoshi Yuzawa|Sumito Oguchi|Tao Zhang|Masafumi Yamamoto|Ru Jia|Tomomi Hashizume-Takizawa","Infection and Immunity|Fems Immunology and Medical Microbiology|Pathogens and Disease|International Journal of Oral-Medical Sciences","Nihon University|Tianjin Medical University|Tongji University",NA,NA
"Eva Hervet","University of Lyon","3",93,2011,2015,"Biology|Phagosome|Cell biology|Endoplasmic reticulum|Legionella pneumophila|Secretion|Effector|Intracellular|Protein kinase A|Virology","Journal publications","Patricia Doublet|Jean-Claude Lazzaroni|Xavier Charpentier|Christophe Gilbert|Danièle Atlan|Anne Vianney|Anne Vianney|Céline Michard|Nathalie Baïlo|Pascale Cossart","Infection and Immunity|Mbio","University of Lyon|Columbia University Medical Center|University of South Alabama",NA,NA
"Asim A. Siddiqui","Case Western Reserve University","3",117,2011,2015,"Antigen|Virology|Plasmodium vivax|Biology|Immunology|Binding domain|Polymorphism (computer science)|Antibody|Allele|Malaria","Journal publications","Christopher L. King|John H. Adams|Mônica da Silva-Nunes|Jia Xianli|Brian T. Grimberg|Amy M. McHenry|Rosalind E. Howes|Peter A. Zimmerman|Marcelo U. Ferreira|Lior J. Greenberg","Proceedings of the National Academy of Sciences of the United States of America|Infection and Immunity","University of South Florida|Case Western Reserve University|University of São Paulo|University of Oxford|La Trobe University",NA,NA
"Balamayooran Theivanthiran","Louisiana State University","6",54,2011,2015,"Biology|Microbiology|Escherichia coli infection|NOD2|Immunology|Chemokine|Glyceraldehyde 3-phosphate dehydrogenase|Virology|Dehydrogenase|Bioinformatics","Journal publications|Conference publications|Other","Gayathriy Balamayooran|Shanshan Cai|Koichi S. Kobayashi|Richard A. Flavell|Samithamby Jeyaseelan|Sanjay Batra|Sanjay Batra|Samithamby Jeyaseelan|Pal Pacher","Infection and Immunity|Journal of Immunology","LSU Health Sciences Center New Orleans|Harvard University|Yale University|Louisiana State University|National Institutes of Health","ATS: American Thoracic Society International Conference",NA
"Javier Santander","Memorial University of Newfoundland","47",429,2003,2020,"Biology|Microbiology|Virology|Virulence|Edwardsiella ictaluri|Salmonella|Pathogen|Catfish|Salmonella enterica|Plasmid","Journal publications|Patents|Other","Roy Curtiss|Cristopher Segovia|Soo Young Wanda|James Robeson|Taylor Martin|Cheryl A. Nickerson|Kenneth L. Roland|Amanda Loh|Melha Mellata|Karen E. Brenneman","Infection and Immunity|PLOS ONE|Genome Announcements|Microbiology|Electronic Journal of Biotechnology|Standards in Genomic Sciences|Nanoethics|International Journal of Oncology|Journal of Fish Diseases|Microbial Pathogenesis","Arizona State University|Universidad Mayor|Memorial University of Newfoundland|Pontifical Catholic University of Valparaíso|Biodesign Institute|National Institutes of Health|Wellcome Trust Sanger Institute|University of Edinburgh|East China University of Science and Technology|Texas A&M University System",NA,NA
"Kaitlyn Morse",NA,"1",0,2011,2011,"Virology|Immunogenicity|Anaplasma marginale|Secretion|Biology|Microbiology","Other",NA,NA,NA,NA,NA
